horas_uso,dias_sin_mantenimiento,fallas_previas,antiguedad,horas_por_dia,uso_proyectado_30d,criticidad,tipo_maquina,fallo_30d
1060,47,0,5,5.210382773981415,156.31148321944244,1,1,0
1494,254,1,17,8.107429287279,243.22287861837,1,1,0
1330,153,2,9,4.527208667455941,135.81626002367824,1,1,0
1295,227,0,17,4.8329486406521225,144.98845921956368,1,1,0
1838,160,1,19,4.016265396485978,120.48796189457934,1,1,0
2369,100,2,7,4.700176384850088,141.00529154550264,2,1,0
666,153,0,9,6.838997206311353,205.1699161893406,2,1,0
1438,111,0,7,7.6366112863350315,229.09833859005096,1,1,0
530,154,0,13,8.765736699798774,262.97210099396324,2,1,0
1682,183,0,11,4.640195500680616,139.20586502041849,1,1,0
2335,115,3,14,9.10436476009873,273.1309428029619,2,1,0
330,184,2,19,8.475847153292309,254.27541459876926,1,1,0
1885,52,1,11,6.451109757615502,193.53329272846506,2,1,0
969,95,1,13,9.597628402599728,287.92885207799185,1,1,0
1715,184,0,14,9.945576858744344,298.3673057623303,1,1,0
1415,97,0,13,5.230010860319424,156.9003258095827,1,1,0
1155,82,3,1,6.2753715097828024,188.26114529348408,1,1,0
1384,160,0,8,9.558696541538268,286.76089624614804,1,1,0
659,118,0,12,8.329579304507662,249.88737913522988,1,1,0
221,202,0,19,4.288567863784526,128.6570359135358,1,1,0
947,155,0,12,8.68908689050849,260.6726067152547,1,1,0
674,45,0,8,8.967645323064952,269.02935969194857,1,1,0
1282,69,0,8,8.503011548591882,255.09034645775645,2,1,0
2247,103,2,13,8.797222785517093,263.9166835655128,1,1,0
1175,114,2,12,8.950796060156783,268.5238818047035,1,1,0
2006,191,1,16,5.118429920728865,153.55289762186595,1,1,0
389,14,0,1,5.414150476389999,162.42451429169995,2,1,0
762,137,1,13,7.802551382321063,234.07654146963188,1,1,0
2099,44,0,7,9.447196782775096,283.41590348325286,2,1,0
1467,119,0,5,5.897179493778967,176.91538481336903,2,1,0
1728,87,3,8,7.52984005477034,225.8952016431102,1,1,0
846,212,2,14,8.097892380502795,242.93677141508385,1,1,0
2268,151,3,13,6.7116916077942355,201.35074823382706,2,1,0
2414,93,0,15,8.282694729131956,248.48084187395867,2,1,0
1497,169,2,17,9.39800467175304,281.9401401525912,1,1,0
800,117,2,15,7.744609265091025,232.33827795273075,1,1,0
2261,197,0,18,7.238686371487798,217.16059114463394,2,1,0
441,168,1,18,6.632468052330035,198.97404156990103,1,1,0
2241,57,1,2,7.464917625436755,223.94752876310264,2,1,0
1563,52,1,4,6.132174710910375,183.96524132731125,1,1,0
2339,25,2,1,6.348892661209011,190.46677983627035,1,1,0
1590,28,1,4,7.191144878129044,215.73434634387132,2,1,0
1678,212,1,18,4.399714674344902,131.99144023034705,1,1,0
975,68,1,5,5.374152345548778,161.22457036646333,1,1,0
234,169,0,19,7.257095863680453,217.7128759104136,1,1,0
2453,152,2,15,6.589168858818656,197.6750657645597,1,1,0
2155,76,2,8,5.996894715474905,179.90684146424715,1,1,0
1785,158,1,17,8.38329482085581,251.49884462567428,1,1,0
1221,46,0,1,8.16230564442003,244.8691693326009,1,1,0
1329,89,1,12,5.000384559960299,150.01153679880898,2,1,0
1700,151,1,19,9.27177469224063,278.1532407672189,1,1,0
902,205,0,15,6.972541758423794,209.17625275271382,1,1,0
1779,87,0,9,8.448765466834272,253.46296400502817,1,1,0
361,63,0,7,7.438905095544332,223.16715286632996,2,1,0
401,0,0,2,9.98615569554306,299.5846708662918,2,1,0
2181,141,1,9,8.514418720232936,255.43256160698806,1,1,0
1195,72,1,10,8.241882767460755,247.25648302382265,1,1,0
1015,50,1,2,8.671431634304506,260.1429490291352,1,1,0
655,113,0,19,4.8587679132908175,145.76303739872452,2,1,0
1475,150,0,11,5.22726755901678,156.8180267705034,2,1,0
1216,186,1,13,8.284384493341685,248.53153480025054,1,1,0
537,134,1,10,6.963888922785176,208.9166676835553,2,1,0
1078,85,1,14,8.5278117511607,255.834352534821,2,1,0
1276,217,2,18,4.61749618446487,138.5248855339461,1,1,0
991,148,0,19,7.218888108907569,216.56664326722708,1,1,0
2464,65,2,9,6.272929393341494,188.1878818002448,1,1,0
963,70,0,7,6.74200131569007,202.26003947070208,1,1,0
2435,42,1,3,7.6237472324350755,228.71241697305226,2,1,0
579,67,2,6,7.013730084775181,210.41190254325545,1,1,0
692,96,0,2,7.23916382267702,217.17491468031062,1,1,0
1380,158,0,6,6.918144891973647,207.54434675920942,1,1,0
2262,4,1,3,6.45373106251296,193.6119318753888,1,1,0
264,130,0,16,8.631291883589471,258.9387565076841,1,1,0
1567,109,2,8,4.073218433908267,122.19655301724802,1,1,0
1352,40,2,2,7.590656207231362,227.71968621694086,1,1,0
2227,186,1,17,7.393050083937843,221.7915025181353,1,1,0
1695,138,0,9,8.297074448397712,248.91223345193137,1,1,0
1362,155,0,12,7.594176188663959,227.82528565991876,1,1,0
1722,78,0,3,8.96079296685447,268.8237890056341,1,1,0
591,189,1,11,9.754448767384167,292.633463021525,1,1,0
1898,0,1,1,6.05514554307126,181.6543662921378,1,1,0
618,198,1,13,5.364105898179922,160.92317694539764,1,1,0
578,133,0,15,6.541581174522897,196.2474352356869,1,1,0
1996,101,0,5,5.727577698854357,171.8273309656307,1,1,0
2478,134,2,17,7.689701578915926,230.69104736747778,2,1,0
2288,41,0,6,9.471114453057789,284.13343359173365,1,1,0
2382,154,2,11,4.834697164858371,145.04091494575113,1,1,0
400,96,0,18,4.604767618095319,138.14302854285955,2,1,0
2063,106,1,4,5.5360931911219735,166.0827957336592,1,1,0
979,109,1,3,8.356573516374404,250.69720549123213,1,1,0
702,141,0,13,7.557777431552929,226.73332294658786,2,1,0
1951,112,1,9,4.613275985351198,138.39827956053594,2,1,0
1004,59,3,6,9.51250313356448,285.3750940069344,1,1,0
2346,162,2,12,8.74050782274452,262.2152346823356,1,1,0
2095,69,2,2,4.138135628725825,124.14406886177476,1,1,0
1770,22,1,3,7.908203265929477,237.24609797788432,1,1,0
1160,43,1,3,8.627480011118427,258.82440033355283,1,1,0
1685,129,2,12,6.246612218322532,187.39836654967598,1,1,0
1228,134,0,15,4.4135292362033125,132.40587708609937,1,1,0
702,52,1,9,4.4639263929327235,133.9177917879817,1,1,0
597,121,0,8,4.625481796310857,138.76445388932572,2,1,0
1070,108,0,11,9.042637791882537,271.27913375647614,1,1,0
592,158,0,16,9.464117189534278,283.92351568602834,1,1,0
406,38,0,4,4.736864691074403,142.10594073223209,1,1,0
1238,62,1,1,5.415436207570487,162.46308622711462,1,1,0
2081,103,2,7,4.993123062203739,149.79369186611217,1,1,0
1684,99,1,2,5.1179252769647245,153.53775830894173,1,1,0
1063,99,2,5,9.024944734014952,270.74834202044855,1,1,0
763,82,1,7,5.992878475929634,179.78635427788902,1,1,0
1220,37,1,4,5.868665584273847,176.05996752821542,1,1,0
295,109,1,5,5.364373725262675,160.93121175788025,1,1,0
2123,31,1,1,7.647366362765553,229.42099088296658,1,1,0
1957,36,1,1,6.275834190313293,188.2750257093988,1,1,0
2478,153,2,15,8.465497911059733,253.96493733179202,2,1,0
1878,180,3,19,5.2334788502538245,157.00436550761475,1,1,0
740,103,0,10,8.726739332286954,261.8021799686086,1,1,0
1259,251,0,18,7.6223291903808335,228.669875711425,1,1,0
1383,12,0,3,4.6856038003341265,140.5681140100238,1,1,0
1922,90,1,11,6.487027505221766,194.610825156653,2,1,0
2019,210,1,15,9.181108843677741,275.4332653103322,1,1,0
1797,118,3,11,9.537761390790909,286.13284172372727,2,1,0
995,147,0,17,6.794200733912879,203.82602201738638,1,1,0
1251,207,0,17,6.885021868534441,206.55065605603323,1,1,0
1843,21,0,6,9.510728349635807,285.3218504890742,1,1,0
1563,102,0,5,7.522409344819403,225.67228034458208,2,1,0
2181,100,1,8,4.19708002146063,125.91240064381891,1,1,0
1554,69,1,2,9.476496777274773,284.2949033182432,1,1,0
1863,180,1,16,5.489358656542912,164.68075969628734,2,1,0
1729,110,2,12,7.465791724549283,223.9737517364785,1,1,0
2238,125,1,6,4.993079904567843,149.79239713703527,1,1,0
1696,20,1,1,4.20327496147957,126.0982488443871,1,1,0
2437,88,2,4,5.868839026796545,176.06517080389634,2,1,0
1608,215,0,17,8.682974245276526,260.4892273582958,1,1,0
1600,194,1,13,5.665523035776509,169.96569107329526,2,1,0
1506,163,0,18,5.320583284486583,159.61749853459747,2,1,0
1172,88,0,5,5.2760847060473575,158.28254118142073,1,1,0
1968,39,0,3,7.091042094440875,212.73126283322625,1,1,0
1482,218,0,11,9.853247894096537,295.5974368228961,1,1,0
909,165,0,13,6.753933928102079,202.61801784306238,1,1,0
1679,65,0,4,7.343832213340288,220.31496640020862,2,1,0
1634,154,0,14,9.163792107344404,274.91376322033216,2,1,0
848,139,1,11,7.210418313601952,216.31254940805857,1,1,0
517,132,1,10,5.1067772285131365,153.2033168553941,1,1,0
1457,187,3,19,5.797575470598862,173.92726411796588,1,1,0
883,163,1,18,5.859621557611666,175.78864672835,1,1,0
863,71,0,6,6.383908692745587,191.5172607823676,1,1,0
2198,114,2,15,6.560733432020497,196.8220029606149,1,1,0
1831,148,2,10,8.798692132445616,263.9607639733685,1,1,0
1695,52,3,5,6.096321994295998,182.88965982887993,1,1,0
1336,27,0,5,6.809390970648276,204.28172911944827,1,1,0
2053,129,4,10,7.749855922306313,232.4956776691894,1,1,0
1720,74,2,5,6.266355684641016,187.99067053923048,1,1,0
763,63,0,3,9.019388879753997,270.5816663926199,2,1,0
1491,60,1,6,7.524721625404446,225.74164876213337,1,1,0
1836,61,3,4,5.7642680753258295,172.92804225977488,2,1,0
898,206,1,18,8.28435519873897,248.5306559621691,2,1,0
2360,132,1,9,7.165886380868715,214.97659142606145,1,1,0
201,189,0,17,7.206735347543481,216.20206042630443,2,1,0
841,135,0,13,6.886527690325516,206.59583070976547,1,1,0
2467,166,2,15,6.982071692927494,209.46215078782484,1,1,0
1789,180,1,17,8.592137686397443,257.7641305919233,1,1,0
1054,107,0,13,4.617888875987893,138.5366662796368,1,1,0
1959,221,1,16,6.006176867862893,180.18530603588678,1,1,0
1861,115,0,4,4.453020182823336,133.59060548470006,1,1,0
1353,101,0,5,8.519477324484704,255.5843197345411,1,1,0
1276,52,0,5,5.633811128321796,169.0143338496539,1,1,0
1907,123,0,9,9.384582458913306,281.53747376739915,1,1,0
1895,210,1,17,7.159470799955763,214.7841239986729,2,1,0
1933,105,4,13,8.804498628916726,264.1349588675018,1,1,0
1639,123,2,2,9.873588613695768,296.207658410873,1,1,0
2494,69,1,13,9.038733156739424,271.1619947021827,2,1,0
1035,210,0,19,9.201962560069141,276.0588768020742,1,1,0
402,112,0,3,6.4479069721890685,193.43720916567204,1,1,0
322,110,1,10,7.310335571556038,219.31006714668115,1,1,0
600,44,1,2,5.5233313842598255,165.69994152779478,1,1,0
966,160,0,13,5.176678598160716,155.30035794482149,2,1,0
493,256,0,19,7.0330472746362025,210.99141823908607,1,1,0
397,154,0,17,7.5702938782025235,227.1088163460757,2,1,0
2130,120,2,14,6.0356274753771455,181.06882426131438,1,1,0
2391,119,2,12,7.416661106581002,222.49983319743006,1,1,0
808,63,0,12,9.324762895081017,279.7428868524305,1,1,0
1347,153,0,11,7.340329508700196,220.2098852610059,1,1,0
386,65,0,7,8.32487857786304,249.74635733589116,1,1,0
1994,58,1,4,8.83188980414743,264.9566941244229,2,1,0
859,223,1,19,9.932372691732656,297.97118075197966,2,1,0
2155,27,1,1,7.619184413061878,228.57553239185634,1,1,0
1569,89,1,3,8.841100893775517,265.2330268132655,2,1,0
2186,92,0,13,9.775895911329249,293.27687733987744,2,1,0
1734,193,1,15,9.666458353463641,289.99375060390923,1,1,0
346,59,0,2,4.846491092666281,145.39473277998843,1,1,0
1934,119,1,11,6.438353849641132,193.15061548923396,1,1,0
2043,67,0,4,5.943940366640797,178.3182109992239,1,1,0
688,130,0,19,4.521550089702096,135.6465026910629,1,1,0
2159,175,1,17,7.799444649465763,233.98333948397288,1,1,0
1863,58,2,3,8.415427679176014,252.46283037528042,2,1,0
840,128,1,18,9.088768572801301,272.663057184039,1,1,0
2002,72,1,8,4.736661337976251,142.09984013928755,1,1,0
2169,181,1,19,9.258664455251763,277.7599336575529,2,1,0
2398,45,0,5,7.85755338168552,235.7266014505656,2,1,0
1638,4,3,7,8.223676810831057,246.7103043249317,1,1,0
1834,147,2,8,9.463744021241823,283.91232063725465,2,1,0
462,64,0,5,7.748567626259506,232.4570287877852,1,1,0
1987,80,1,17,6.01519514289901,180.4558542869703,1,1,0
